weather,humidity,local_pressure,visibility,wind_direction,wind_speed,temperature
Rain,80,1007,10000,163,3.1000,23
Clear,88,1011,10000,180,2.6000,22
Clouds,69,1013,10000,80,4.6000,25
Clouds,65,1004,10000,160,5.1000,27
Rain,94,1012,10000,40,4.6000,21
Clouds,73,1015,10000,40,4.6000,21
Rain,95,1015,10000,117,2.6000,23
Clouds,54,1004,10000,150,5.1000,29
Clouds,49,1012,10000,163,1.5000,27
Rain,81,1005,10000,173,0.5000,24
Rain,100,1011,10000,85,2.5000,21
Clouds,74,1004,10000,100,3.6000,30
Clouds,83,1013,10000,30,3.6000,21
Clouds,69,1015,16093,0,0.5000,28
Clear,19,1003,10000,132,1.9000,30
Clouds,70,1004,10000,190,8.7000,33
Clouds,83,1014,16093,210,2.1000,26
Clear,19,1004,10000,135,4.1000,29
Clouds,88,1012,10000,130,3.1000,24
Clouds,88,1016,16093,180,1.5000,24
Rain,78,1010,10000,50,7.7000,29
Drizzle,83,1013,6437,70,1.0000,26
Rain,19,1005,10000,19,1.0000,30
Clouds,69,1013,10000,70,6.7000,24
Clouds,83,1012,10000,180,4.1000,24
Rain,30,999,10000,153,2.5000,27
Clouds,79,1008,10000,100,3.1000,29
Clear,20,1000,10000,145,2.5000,30
Clear,85,1009,10000,193,2.9000,26
Clouds,11,997,10000,317,7.2000,33
Rain,100,1008,10000,109,2.0000,23
Rain,94,1011,4828,350,1.5000,22
Clouds,31,1001,10000,346,2.5000,24
Clouds,94,1007,10000,60,4.1000,24
Clear,33,1007,10000,175,2.5000,27
Rain,67,1001,10000,348,1.6000,26
Clouds,94,1009,10000,160,4.1000,26
Clouds,36,1000,10000,351,1.0000,28
Clouds,66,1006,10000,170,6.2000,31
Clouds,77,1006,10000,38,3.6000,32
Clouds,94,1005,10000,150,3.1000,25
Clouds,94,1005,10000,210,2.1000,25
Rain,68,1003,10000,52,4.4000,31
Rain,70,1006,16093,180,7.2000,29
Clouds,94,1001,10000,200,6.2000,26
Clouds,31,1002,10000,325,3.6000,28
Clear,64,998,10000,165,1.0000,31
Clouds,87,1007,10000,18,2.5000,29
Rain,83,1005,10000,60,9.8000,24
Rain,83,1007,10000,100,4.1000,28
Clouds,100,1003,10000,240,2.1000,24
Clouds,94,1006,10000,60,3.6000,27
Rain,74,1005,10000,120,2.2000,30
Clouds,55,1000,10000,180,12.3000,31
Rain,35,1000,10000,180,1.5000,27
Clear,82,1019,10000,150,4.6000,19
Clouds,88,1018,10000,140,3.6000,17
Clear,80,1024,10000,332,2.4000,14
Clouds,94,1015,10000,196,3.6000,19
Clouds,82,1020,10000,130,6.7000,17
Clear,86,1030,10000,102,3.4000,15
Clear,74,1022,10000,196,8.2000,19
Mist,88,999,10000,200,10.8000,20
Haze,88,1019,8000,170,5.7000,20
Clouds,94,1015,10000,196,3.6000,19
Clouds,88,1011,10000,120,5.1000,18
Rain,77,1011,10000,220,4.6000,19
Rain,88,1015,10000,180,5.7000,17
Clouds,90,1027,10000,69,2.0000,15
Clouds,87,1011,10000,207,7.9000,19
Clouds,82,1005,10000,260,4.1000,18
Clouds,74,1021,10000,202,8.4000,19
Clouds,66,1029,10000,72,3.5000,20
Clouds,88,1021,10000,140,5.1000,18
Clear,55,1006,10000,230,8.7000,18
Fog,93,1014,10000,40,5.1000,15
Clouds,89,1029,10000,180,2.7000,16
Rain,88,1020,10000,213,7.3000,17
Clouds,60,1015,10000,180,6.2000,23
Clouds,40,1000,10000,10,3.1000,22
Clouds,33,1010,10000,180,4.1000,22
Clouds,83,1013,10000,190,6.7000,23
Clouds,73,1014,10000,110,2.1000,24
Clear,36,997,10000,311,1.6000,19
Rain,74,1003,10000,187,1.9000,20
Clear,60,1012,10000,190,10.8000,25
Rain,88,1016,10000,50,2.6000,18
Rain,77,1000,10000,315,1.0000,21
